step,epoch,total_loss,ce_loss,sim_loss,cosine_similarity
0,0.000,3.485452,2.490320,0.995132,0.004868
0,0.000,2.653903,1.662829,0.991074,0.008926
0,0.000,2.849823,1.839899,1.009924,-0.009924
0,0.000,4.535620,3.603130,0.932490,0.067510
0,0.000,3.187742,2.205537,0.982205,0.017795
0,0.000,4.097218,3.078584,1.018633,-0.018633
0,0.000,4.613904,3.626257,0.987647,0.012353
0,0.000,3.165593,2.187596,0.977997,0.022003
1,0.010,3.621994,2.618157,1.003838,-0.003838
1,0.010,2.733678,1.740791,0.992887,0.007113
1,0.010,3.376602,2.380721,0.995881,0.004119
1,0.010,3.217899,2.222223,0.995677,0.004323
1,0.010,3.220503,2.237906,0.982598,0.017402
1,0.010,3.639018,2.643577,0.995440,0.004560
1,0.010,3.090126,2.100684,0.989442,0.010558
1,0.010,3.474450,2.462707,1.011743,-0.011743
2,0.021,2.838828,1.839582,0.999245,0.000755
2,0.021,4.040793,3.066909,0.973884,0.026116
2,0.021,3.525200,2.529725,0.995475,0.004525
2,0.021,3.392451,2.386695,1.005756,-0.005756
2,0.021,3.996483,2.998611,0.997872,0.002128
2,0.021,3.310638,2.326020,0.984619,0.015381
2,0.021,4.015055,3.075860,0.939196,0.060804
2,0.021,3.206780,2.237479,0.969301,0.030699
3,0.031,2.900170,1.915441,0.984729,0.015271
3,0.031,4.660885,3.678353,0.982532,0.017468
3,0.031,3.125951,2.141424,0.984527,0.015473
3,0.031,3.086659,2.111337,0.975322,0.024678
3,0.031,3.768642,2.766368,1.002274,-0.002274
3,0.031,3.099824,2.105932,0.993892,0.006108
3,0.031,3.492051,2.490362,1.001689,-0.001689
3,0.031,3.325418,2.340768,0.984650,0.015350
